Unnamed: 0,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs),car_age,price_per_km
31,2019 Hyundai i20 Sportz Plus BSIV,2019,Comprehensive,Petrol,5,42098,First Owner,Manual,2019,18.6,1197.0,1197.0,8186.0,6.7,7,15.91524537982802
33,2019 BMW X1 sDrive 20d xLine,2019,Comprehensive,Diesel,5,64000,First Owner,Automatic,2019,20.68,1995.0,1995.0,188.0,25.5,7,39.84375
34,2022 Maruti Swift ZXI Plus DT AMT BSVI,2022,Comprehensive,Petrol,5,13158,First Owner,Automatic,2022,22.56,1197.0,1197.0,8850.0,8.38,4,63.68749050007601
35,2018 Hyundai Creta 1.6 SX Automatic Diesel,2018,Third Party insurance,Diesel,5,65400,First Owner,Automatic,2018,17.6,1582.0,1582.0,1262.0,10.9,8,16.666666666666668
37,2022 Tata Tiago XZ Plus CNG BSVI,2022,Comprehensive,CNG,5,30000,First Owner,Manual,2022,26.49,1199.0,1199.0,72.0,7.25,4,24.166666666666668
38,2017 Honda Jazz 1.5 E i DTEC,2017,Comprehensive,Diesel,5,62000,First Owner,Manual,2017,1498.0,986.0,986.0,200.0,4.75,9,7.661290322580645
39,2010 Volkswagen Beetle 2.0,2010,Comprehensive,Petrol,4,40000,First Owner,Automatic,2010,10.98,1984.0,1984.0,1144.0,11.95,16,29.875
40,2021 MG Gloster Savvy 6-Str,2021,Comprehensive,Diesel,6,35000,First Owner,Automatic,2021,12.4,1996.0,1996.0,21501.0,35.0,5,100.0
41,2010 Maruti Swift 1.2 VXi BSII,2010,Comprehensive,Petrol,5,100525,First Owner,Manual,2010,16.1,1197.0,1197.0,85.0,2.09,16,2.0790848047749315
42,2015 Honda City i VTEC CVT VX,2015,Third Party insurance,Petrol,5,83000,Second Owner,Automatic,2015,18.0,1497.0,1497.0,1173.0,6.25,11,7.530120481927711
43,2011 Maruti Wagon R LXI BSIII,2011,Comprehensive,Petrol,5,40191,Second Owner,Manual,2011,998.0,671.0,671.0,90.0,2.12,15,5.274812769027892
44,2015 Audi A6 35 TDI,2015,Comprehensive,Diesel,5,62152,First Owner,Automatic,2015,18.53,1968.0,1968.0,18774.0,20.0,11,32.179173638820956
45,2017 Hyundai Creta 1.6 VTVT S,2017,Third Party insurance,Petrol,5,49000,First Owner,Manual,2017,15.29,1591.0,1591.0,1213.0,8.35,9,17.040816326530614
46,2017 Maruti Baleno 1.2 Delta,2017,Comprehensive,Petrol,5,56215,First Owner,Manual,2017,21.4,1197.0,1197.0,831.0,5.03,9,8.94778973583563
47,2018 Toyota Yaris J,2018,Comprehensive,Petrol,5,53000,First Owner,Manual,2018,17.1,1496.0,1496.0,10594.0,6.95,8,13.11320754716981
48,2015 Toyota Fortuner 4x2 AT,2015,Comprehensive,Diesel,7,100000,First Owner,Automatic,2015,12.55,2982.0,2982.0,1685.0,16.0,11,16.0
49,2020 Hyundai Creta SX Turbo BSVI,2020,Comprehensive,Petrol,5,36346,First Owner,Automatic,2020,16.8,1353.0,1353.0,13808.0,15.22,6,41.87530952511968
50,2018 Jaguar XE 2.0L Diesel Portfolio,2018,Comprehensive,Diesel,5,48000,First Owner,Automatic,2018,13.5,1999.0,1999.0,177.0,26.95,8,56.145833333333336
51,2019 Hyundai i20 Sportz Plus BSIV,2019,Comprehensive,Petrol,5,42098,First Owner,Manual,2019,18.6,1197.0,1197.0,8186.0,6.7,7,15.91524537982802
53,2019 BMW X1 sDrive 20d xLine,2019,Comprehensive,Diesel,5,64000,First Owner,Automatic,2019,20.68,1995.0,1995.0,188.0,25.5,7,39.84375
54,2022 Maruti Swift ZXI Plus DT AMT BSVI,2022,Comprehensive,Petrol,5,13158,First Owner,Automatic,2022,22.56,1197.0,1197.0,8850.0,8.38,4,63.68749050007601
55,2018 Hyundai Creta 1.6 SX Automatic Diesel,2018,Third Party insurance,Diesel,5,65400,First Owner,Automatic,2018,17.6,1582.0,1582.0,1262.0,10.9,8,16.666666666666668
57,2022 Tata Tiago XZ Plus CNG BSVI,2022,Comprehensive,CNG,5,30000,First Owner,Manual,2022,26.49,1199.0,1199.0,72.0,7.25,4,24.166666666666668
58,2017 Honda Jazz 1.5 E i DTEC,2017,Comprehensive,Diesel,5,62000,First Owner,Manual,2017,1498.0,986.0,986.0,200.0,4.75,9,7.661290322580645
59,2010 Volkswagen Beetle 2.0,2010,Comprehensive,Petrol,4,40000,First Owner,Automatic,2010,10.98,1984.0,1984.0,1144.0,11.95,16,29.875
60,2023 Honda City ZX CVT,2023,Comprehensive,Petrol,5,10280,First Owner,Automatic,2023,18.4,1498.0,1498.0,11935.0,16.0,3,155.6420233463035
61,2015 Maruti Baleno 1.2 Alpha,2015,Comprehensive,Petrol,5,17282,First Owner,Manual,2015,21.4,1197.0,1197.0,831.0,5.45,11,31.535701886355746
62,2019 Honda CR-V 2.0 CVT,2019,Third Party insurance,Petrol,5,30500,First Owner,Automatic,2019,14.4,1997.0,1997.0,15189.0,22.95,7,75.24590163934427
63,2020 Kia Seltos HTX Plus Diesel,2020,Comprehensive,Diesel,5,60755,First Owner,Manual,2020,20.8,1493.0,1493.0,11343.0,13.51,6,22.236852933914903
64,2021 Mercedes-Benz C-Class Progressive C 200,2021,Comprehensive,Petrol,5,25000,Second Owner,Automatic,2021,11.9,1950.0,1950.0,20115.0,40.75,5,163.0
65,2018 Mahindra Scorpio S11,2018,Comprehensive,Diesel,7,47000,First Owner,Manual,2018,15.4,2179.0,2179.0,13678.0,14.5,8,30.851063829787233
66,2020 Kia Seltos GTX DCT,2020,Comprehensive,Petrol,5,59316,First Owner,Automatic,2020,16.2,1353.0,1353.0,138.0,13.99,6,23.585541843684673
67,2021 Toyota Yaris J BSIV,2021,Comprehensive,Petrol,5,48000,Third Owner,Manual,2021,17.1,1496.0,1496.0,1055.0,6.95,5,14.479166666666666
68,2023 BMW 5 Series 530i M Sport BSVI,2023,Zero Dep,Petrol,5,20000,First Owner,Automatic,2023,14.82,1998.0,1998.0,24808.0,65.0,3,325.0
69,2020 Renault KWID Climber 1.0 AMT Opt,2020,Third Party insurance,Petrol,5,12503,First Owner,Automatic,2020,22.0,999.0,999.0,67.0,5.15,6,41.190114372550596
70,2021 Jeep Compass 1.4 Sport BSVI,2021,Comprehensive,Petrol,5,10000,First Owner,Manual,2021,14.3,1368.0,1368.0,16077.0,15.95,5,159.5
71,2011 Maruti Swift 1.2 VXi BSII,2011,Comprehensive,Petrol,5,73717,Second Owner,Manual,2011,16.1,1197.0,1197.0,85.0,2.41,15,3.2692594652522486
73,2017 Honda Jazz V CVT,2017,Comprehensive,Petrol,5,17000,First Owner,Automatic,2017,17.1,1199.0,1199.0,8850.0,5.95,9,35.0
74,2014 Hyundai Grand i10 AT Asta,2014,Comprehensive,Petrol,5,36047,First Owner,Automatic,2014,18.9,1197.0,1197.0,82.0,4.32,12,11.984353760368409
75,2018 Maruti Wagon R CNG LXI,2018,Comprehensive,CNG,5,45000,First Owner,Manual,2018,998.0,5833.0,5833.0,78.0,4.45,8,9.88888888888889
77,2016 Hyundai i10 Sportz,2016,Comprehensive,Petrol,5,50000,Second Owner,Manual,2016,20.36,1197.0,1197.0,789.0,3.45,10,6.9
78,2018 Maruti Swift VXI,2018,Comprehensive,Petrol,5,51000,First Owner,Manual,2018,22.0,1197.0,1197.0,8180.0,5.5,8,10.784313725490197
79,2018 Mahindra XUV500 W5,2018,Third Party,Diesel,7,62000,Second Owner,Manual,2018,2179.0,15287.0,15287.0,360.0,8.5,8,13.709677419354838
80,2023 Honda City ZX CVT,2023,Comprehensive,Petrol,5,10280,First Owner,Automatic,2023,18.4,1498.0,1498.0,11935.0,16.0,3,155.6420233463035
81,2015 Maruti Baleno 1.2 Alpha,2015,Comprehensive,Petrol,5,17282,First Owner,Manual,2015,21.4,1197.0,1197.0,831.0,5.45,11,31.535701886355746
82,2019 Honda CR-V 2.0 CVT,2019,Third Party insurance,Petrol,5,30500,First Owner,Automatic,2019,14.4,1997.0,1997.0,15189.0,22.95,7,75.24590163934427
83,2020 Kia Seltos HTX Plus Diesel,2020,Comprehensive,Diesel,5,60755,First Owner,Manual,2020,20.8,1493.0,1493.0,11343.0,13.51,6,22.236852933914903
84,2021 Mercedes-Benz C-Class Progressive C 200,2021,Comprehensive,Petrol,5,25000,Second Owner,Automatic,2021,11.9,1950.0,1950.0,20115.0,40.75,5,163.0
